emp_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
100287,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100288,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100292,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100294,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100298,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100299,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100300,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100301,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100305,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100306,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100310,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100311,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100312,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100313,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100318,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100320,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100324,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100325,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100326,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100328,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100329,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100331,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100333,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100334,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100335,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100337,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100338,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100339,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100340,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100342,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100344,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100352,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100359,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100360,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100363,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100364,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100371,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100379,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100382,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100383,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100389,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100390,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100402,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
